repeat,ops_per_thread,threads,cache_size,total_keys,distribution,lambda,theta,warmup,mapping_sleep_us,mapping_spin_us,secs,mops,ns_per_op,warmup_misses
1,1000000,8,10000,10000,z,0.01,0.95,10000,0,0,0.220609542,36.2631639931513,27.57619275,0
2,1000000,8,10000,10000,z,0.01,0.95,10000,0,0,0.254508083,31.433186347955793,31.813510375,0
3,1000000,8,10000,10000,z,0.01,0.95,10000,0,0,0.227402333,35.17993810556024,28.425291625,0
4,1000000,8,10000,10000,z,0.01,0.95,10000,0,0,0.222611709,35.93701353777397,27.826463625,0
5,1000000,8,10000,10000,z,0.01,0.95,10000,0,0,0.230218,34.74967204997003,28.77725,0
1,1000000,8,10000,12500,z,0.01,0.95,10000,0,0,0.235873459,33.91649079093718,29.484182375,0
2,1000000,8,10000,12500,z,0.01,0.95,10000,0,0,0.248566125,32.18459474314933,31.070765625,0
3,1000000,8,10000,12500,z,0.01,0.95,10000,0,0,0.245940125,32.52824239233024,30.742515625,0
4,1000000,8,10000,12500,z,0.01,0.95,10000,0,0,0.243576958,32.843829176978225,30.44711975,0
5,1000000,8,10000,12500,z,0.01,0.95,10000,0,0,0.248582792,32.182436827726995,31.072849,0
1,1000000,8,10000,15000,z,0.01,0.95,10000,0,0,0.288393083,27.739916355760865,36.049135375,0
2,1000000,8,10000,15000,z,0.01,0.95,10000,0,0,0.277628833,28.81545087934004,34.703604125,0
3,1000000,8,10000,15000,z,0.01,0.95,10000,0,0,0.270389791,29.586915875829053,33.798723875,0
4,1000000,8,10000,15000,z,0.01,0.95,10000,0,0,0.2954735,27.075186099599456,36.9341875,0
5,1000000,8,10000,15000,z,0.01,0.95,10000,0,0,0.281070083,28.462652142170533,35.133760375,0
1,1000000,8,10000,20000,z,0.01,0.95,10000,0,0,0.361304459,22.141990780135927,45.163057375,0
2,1000000,8,10000,20000,z,0.01,0.95,10000,0,0,0.365837166,21.867652451692127,45.72964575,0
3,1000000,8,10000,20000,z,0.01,0.95,10000,0,0,0.360769083,22.17484916799259,45.096135375,0
4,1000000,8,10000,20000,z,0.01,0.95,10000,0,0,0.365979292,21.859160271833083,45.7474115,0
5,1000000,8,10000,20000,z,0.01,0.95,10000,0,0,0.292250667,27.3737613060777,36.531333375,0
1,1000000,8,10000,30000,z,0.01,0.95,10000,0,0,0.345239625,23.17231111579385,43.154953125,0
2,1000000,8,10000,30000,z,0.01,0.95,10000,0,0,0.375394916,21.310890635503437,46.9243645,0
3,1000000,8,10000,30000,z,0.01,0.95,10000,0,0,0.441079917,18.137302769103403,55.134989625,0
4,1000000,8,10000,30000,z,0.01,0.95,10000,0,0,0.34441075,23.228078682213027,43.05134375,0
5,1000000,8,10000,30000,z,0.01,0.95,10000,0,0,0.486737917,16.435949862521188,60.842239625,0
1,1000000,8,10000,50000,z,0.01,0.95,10000,0,0,0.328154167,24.378785353044137,41.019270875,0
2,1000000,8,10000,50000,z,0.01,0.95,10000,0,0,0.320424417,24.96688634062491,40.053052125,0
3,1000000,8,10000,50000,z,0.01,0.95,10000,0,0,0.325985084,24.541000164289727,40.7481355,0
4,1000000,8,10000,50000,z,0.01,0.95,10000,0,0,0.383246125,20.87431412385448,47.905765625,0
5,1000000,8,10000,50000,z,0.01,0.95,10000,0,0,0.3445555,23.218320415724026,43.0694375,0
1,1000000,8,10000,75000,z,0.01,0.95,10000,0,0,0.341734166,23.41000928774561,42.71677075,0
2,1000000,8,10000,75000,z,0.01,0.95,10000,0,0,0.343634416,23.28055522820508,42.954302,0
3,1000000,8,10000,75000,z,0.01,0.95,10000,0,0,0.346370416,23.096660772552813,43.296302,0
4,1000000,8,10000,75000,z,0.01,0.95,10000,0,0,0.352394667,22.701819150969158,44.049333375,0
5,1000000,8,10000,75000,z,0.01,0.95,10000,0,0,0.352604583,22.688304082536554,44.075572875,0
1,1000000,8,10000,10000,z,0.01,0.95,10000,1,0,0.236997,33.75570154896475,29.624625,0
2,1000000,8,10000,10000,z,0.01,0.95,10000,1,0,0.233174084,34.309130169028556,29.1467605,0
3,1000000,8,10000,10000,z,0.01,0.95,10000,1,0,0.236720667,33.79510585782525,29.590083375,0
4,1000000,8,10000,10000,z,0.01,0.95,10000,1,0,0.243160709,32.90005212149632,30.395088625,0
5,1000000,8,10000,10000,z,0.01,0.95,10000,1,0,0.23906525,33.46366734604883,29.88315625,0
1,
